household_id,household_size,income_level,property_type,dwelling_area_sqm,has_garden,num_bathrooms,has_dishwasher,has_washing_machine,occupants_children,water_price_per_m3,temperature_c,daily_consumption_liters
124,2,middle,house,76.7,0,1,0,1,3,0.6,11.1,270.2
125,2,middle,house,127.4,0,2,1,1,2,2.02,16.4,291.1
126,2,high,house,109.5,0,3,1,1,1,2.24,21.8,272.7
127,3,low,house,123.7,0,2,1,1,2,1.27,20.5,339.8
128,2,low,house,114.8,1,1,1,1,3,0.66,22.7,365.4
129,4,middle,house,99.9,0,1,1,1,0,2.48,36.2,319.1
130,1,low,house,81.0,1,3,1,1,2,2.11,16.7,320.0
131,2,high,house,95.0,1,1,1,1,2,0.89,35.3,356.4
132,1,middle,house,110.7,0,2,1,1,1,1.54,23.7,251.9
133,5,low,house,105.7,0,1,1,1,0,1.53,15.4,364.3
134,4,low,apartment,61.7,0,2,1,1,3,1.02,29.5,382.8
135,2,high,apartment,65.0,1,2,0,1,1,1.63,25.1,331.4
136,4,middle,house,149.6,0,3,0,1,2,2.21,20.4,356.2
137,1,low,house,65.4,1,1,0,1,3,2.35,15.4,276.2
138,1,low,house,148.2,0,2,0,0,1,1.58,11.0,218.8
139,6,high,apartment,107.9,0,3,0,0,0,1.11,8.5,375.2
140,4,high,apartment,38.6,0,3,0,1,0,2.35,28.1,323.6
141,3,low,house,52.5,0,1,1,1,0,2.34,14.1,269.5
142,3,high,apartment,106.1,0,2,0,1,3,2.05,19.2,309.8
143,6,low,apartment,109.7,1,2,1,1,3,1.61,16.4,498.3
144,3,high,house,114.8,1,3,1,1,0,2.42,19.2,333.8
145,2,low,house,112.4,0,2,0,0,3,1.34,13.9,241.2
146,4,middle,house,119.5,0,1,0,1,2,1.25,32.7,317.3
147,6,high,apartment,72.4,0,2,1,1,3,0.74,20.2,428.3
148,5,middle,house,59.9,0,2,0,0,0,1.9,24.0,341.0
149,4,low,house,77.4,1,1,0,1,0,2.08,20.4,357.4
150,2,middle,house,80.5,0,1,0,1,1,2.37,19.2,234.1
151,1,middle,house,106.8,0,1,1,1,1,1.52,26.0,222.8
152,4,high,apartment,58.9,0,3,0,1,3,1.74,25.0,356.1
153,1,middle,apartment,141.5,0,3,1,1,1,1.96,32.0,264.8
154,4,low,house,30.0,1,2,1,0,3,2.01,16.7,384.1
155,2,middle,apartment,53.3,1,3,1,1,3,1.84,19.1,367.3
156,4,low,apartment,99.4,0,2,0,1,3,1.53,19.7,344.6
157,6,low,apartment,140.2,0,3,0,1,1,2.14,11.4,376.4
158,4,middle,apartment,105.7,0,3,0,1,2,1.38,21.6,378.3
159,1,middle,apartment,66.3,0,2,0,1,2,0.91,8.9,246.3
160,2,high,house,145.4,0,1,1,0,2,1.28,19.9,273.9
161,5,middle,apartment,120.4,0,2,1,1,1,0.57,18.3,386.1
162,3,high,apartment,63.6,0,2,1,1,2,0.62,19.3,310.9
163,2,high,house,86.1,1,1,1,1,1,2.44,19.7,293.6
164,6,middle,house,183.7,0,3,1,1,3,1.18,20.8,487.3
165,2,low,house,66.9,0,1,0,1,0,0.59,23.1,289.7
166,3,high,apartment,133.1,0,2,0,1,0,1.86,14.1,292.4
167,1,low,apartment,112.8,0,2,1,1,3,1.62,27.6,290.2
168,3,low,house,97.0,0,3,0,1,3,2.01,26.1,355.8
169,1,middle,apartment,147.7,1,1,1,1,3,2.38,27.6,345.4
170,5,high,house,100.3,1,3,1,1,0,1.64,28.5,437.8
171,4,low,house,49.5,0,1,1,0,2,1.78,22.4,289.6
172,2,middle,house,38.3,1,3,0,1,2,0.57,9.0,336.0
173,6,middle,apartment,105.6,1,1,0,1,1,1.84,25.4,466.8
174,1,low,house,73.4,1,2,1,1,1,1.22,23.0,316.9
175,6,low,house,135.8,1,1,1,1,0,0.85,23.9,449.6
176,2,middle,apartment,72.8,1,1,0,1,0,0.7,20.6,291.9
177,6,low,house,96.8,1,2,1,1,0,2.18,28.0,463.4
178,5,low,apartment,114.6,1,2,1,1,2,0.89,15.0,442.1
179,3,low,apartment,133.8,0,2,1,1,1,2.19,16.0,309.3
180,1,low,apartment,46.7,0,2,1,0,2,1.35,25.2,232.5
181,4,low,apartment,97.0,0,2,0,1,2,2.25,22.5,336.1
182,4,middle,apartment,202.6,1,1,1,1,2,1.13,8.3,376.8
183,3,low,apartment,73.1,0,2,0,0,3,0.57,22.6,259.3
184,5,low,house,30.0,0,1,1,1,2,0.61,23.1,359.4
185,1,low,apartment,113.1,0,2,1,1,3,1.31,24.3,296.0
186,4,middle,house,163.0,0,2,1,0,2,2.27,21.2,319.9
187,1,middle,apartment,140.0,1,3,1,1,1,2.08,13.2,316.0
188,1,middle,house,39.2,0,3,1,1,3,1.16,25.6,299.9
189,5,middle,apartment,30.0,1,1,1,1,0,2.06,29.6,391.2
190,6,middle,house,73.7,0,1,1,0,0,1.41,19.2,386.3
191,2,high,house,33.3,0,3,1,1,1,2.33,21.5,305.1
192,4,middle,apartment,144.0,1,3,1,1,1,0.91,19.8,404.2
193,4,low,house,65.1,0,1,0,1,2,0.98,28.2,356.6
194,4,middle,apartment,102.5,1,3,0,1,1,2.14,15.7,391.2
195,4,middle,house,115.1,1,1,1,1,0,1.77,26.2,365.8
196,3,low,house,96.6,0,1,1,1,0,1.84,19.1,249.5
197,6,middle,apartment,88.6,1,3,1,1,1,1.13,28.5,484.9
198,6,middle,house,73.4,0,2,1,0,1,2.49,20.4,373.9
199,3,high,apartment,93.8,1,3,1,0,1,1.02,22.7,392.5
200,6,high,house,118.7,1,1,0,1,3,1.25,22.0,436.2
201,6,low,house,87.7,0,1,1,1,2,1.79,20.5,379.4
202,5,high,house,41.9,1,1,1,1,2,1.67,25.5,424.4
203,5,middle,apartment,118.8,0,1,1,1,2,1.17,26.5,383.9
204,2,low,house,68.2,0,2,0,1,0,2.32,18.9,252.4
205,5,low,apartment,99.4,1,1,1,1,1,2.11,20.0,365.8
206,6,middle,apartment,110.9,0,3,1,1,2,1.49,20.4,458.0
207,1,high,house,127.6,0,3,0,1,2,1.9,13.9,231.5
208,6,high,house,103.1,0,1,1,1,1,1.45,36.5,391.0
209,5,high,apartment,57.3,0,3,0,1,0,1.9,21.0,377.1
210,1,middle,house,138.6,1,2,1,1,2,1.02,30.8,323.0
211,3,middle,house,126.3,0,3,1,1,1,2.36,17.9,318.1
212,4,middle,apartment,118.1,0,2,1,1,2,2.43,19.2,343.1
213,6,middle,house,98.7,1,3,1,0,3,1.64,14.9,455.0
214,2,low,house,114.5,0,2,1,0,0,1.7,20.6,256.4
215,6,low,house,122.1,0,3,1,1,0,1.69,21.7,428.9
216,5,middle,apartment,88.8,0,2,1,1,3,1.93,32.9,413.4
217,6,high,house,142.2,1,3,1,1,0,1.92,19.2,465.6
218,3,high,apartment,132.3,1,1,0,1,3,0.6,25.0,373.5
219,6,low,apartment,126.1,1,2,0,1,3,1.53,25.7,479.1
220,1,high,house,62.6,1,2,1,0,3,0.86,15.3,298.0
221,6,high,house,30.0,1,3,1,1,2,2.36,16.3,461.2
222,2,middle,house,30.0,0,2,0,1,0,2.04,23.2,248.1
223,1,high,house,141.5,0,1,0,1,1,1.24,20.1,192.1
224,2,middle,apartment,116.1,0,1,1,0,3,2.32,17.5,242.1
225,3,low,house,79.7,0,1,1,1,1,2.09,30.1,296.5
226,6,low,apartment,94.1,0,2,1,1,0,1.49,26.8,406.4
227,6,middle,apartment,157.7,1,3,0,1,0,1.15,18.8,458.5
228,5,middle,apartment,34.0,0,2,1,1,1,1.55,29.0,373.8
229,5,middle,apartment,85.0,1,2,1,1,2,1.92,19.8,399.2
230,3,low,house,105.4,0,3,1,1,0,1.23,24.5,318.9
231,1,low,apartment,92.9,0,3,0,1,1,2.45,17.4,255.1
232,1,middle,apartment,58.0,0,3,0,1,1,1.53,24.8,240.7
233,6,low,apartment,64.9,1,2,0,1,2,0.51,19.6,476.7
234,4,low,apartment,79.6,1,1,0,1,0,2.13,23.7,326.5
235,2,high,house,111.0,1,2,0,1,2,0.78,29.5,384.2
236,6,middle,house,129.0,1,2,1,1,2,1.05,24.0,479.4
237,2,low,house,116.3,0,3,1,1,1,1.46,14.6,295.0
238,6,high,apartment,105.2,0,2,0,1,1,0.58,26.9,440.7
239,2,low,apartment,87.6,0,3,0,1,0,1.29,23.4,261.1
240,5,middle,apartment,100.1,0,3,1,1,3,2.25,26.4,448.8
241,2,middle,house,108.5,0,3,1,1,3,0.7,25.4,347.7
242,1,middle,apartment,77.9,1,1,1,1,1,1.71,20.8,263.6
243,4,low,house,45.4,0,2,1,1,2,0.83,26.4,345.0
244,5,middle,house,97.6,0,3,0,1,0,0.56,23.0,340.7
245,5,middle,apartment,140.6,1,3,1,1,0,1.01,23.7,457.9
246,3,middle,apartment,121.4,1,2,0,1,0,1.74,24.7,319.3
247,3,low,house,137.9,0,2,1,1,1,1.46,24.3,336.8
248,5,middle,house,138.0,1,1,0,1,3,1.79,25.3,409.2
249,4,middle,house,31.8,0,2,0,1,0,1.73,8.9,295.7
250,5,high,house,71.5,0,3,1,1,1,1.87,26.0,376.8
251,6,high,house,88.6,0,2,1,1,2,2.07,34.3,434.4
252,2,middle,house,114.3,0,3,0,1,1,2.25,33.9,305.6
253,4,low,apartment,58.3,0,1,1,1,0,2.27,22.7,317.4
254,6,high,house,131.9,1,1,1,0,1,1.87,21.9,460.2
255,5,low,apartment,30.0,0,2,0,1,3,0.5,28.8,416.5
256,5,low,house,108.5,1,3,1,1,2,1.51,27.3,461.6
257,6,low,apartment,70.0,0,2,0,1,1,2.12,19.0,375.3
258,2,middle,house,94.5,0,3,0,0,0,1.0,15.4,257.7
259,3,middle,apartment,30.0,0,3,1,1,0,0.73,20.7,305.6
260,5,middle,apartment,98.0,0,2,1,1,1,1.92,27.7,393.2
261,4,middle,house,49.3,0,1,0,1,3,1.73,28.4,319.9
262,4,high,house,126.4,0,3,1,1,2,2.47,24.5,361.5
263,3,middle,apartment,120.2,0,2,1,1,3,0.66,23.7,359.7
264,3,high,apartment,119.8,1,2,1,1,1,1.8,34.5,406.3
265,3,middle,apartment,94.8,1,1,1,1,0,0.73,42.0,389.0
266,6,middle,house,118.1,0,1,1,0,3,0.56,25.2,413.8
267,2,middle,apartment,129.6,0,1,0,1,2,1.13,28.4,283.0
268,3,low,apartment,101.3,0,1,0,0,2,0.58,22.0,261.1
269,4,low,apartment,87.0,1,2,1,1,3,0.61,12.5,433.0
270,2,low,house,99.7,1,1,0,1,2,0.88,9.3,326.5
271,1,middle,house,50.4,1,3,0,0,3,1.8,20.4,262.3
272,6,high,house,84.1,1,2,1,1,2,1.31,5.9,468.0
273,5,low,house,88.1,0,1,0,1,3,0.82,26.5,387.5
274,4,middle,apartment,104.6,1,3,0,1,0,2.41,31.6,398.4
275,6,middle,house,110.3,1,3,0,1,2,1.09,29.1,518.4
276,3,middle,apartment,147.1,1,1,1,1,3,2.34,23.1,371.7
277,3,low,house,101.9,0,3,0,1,2,1.07,21.9,353.1
278,1,high,house,94.2,0,1,1,1,3,1.01,25.2,250.9
279,4,high,house,112.6,0,2,1,1,2,0.61,28.8,389.9
280,2,middle,apartment,120.7,1,3,0,1,0,0.85,21.0,344.1
281,3,middle,apartment,79.5,0,2,0,1,0,1.04,29.5,317.8
282,4,low,house,53.6,0,1,0,1,1,0.59,23.1,296.1
283,3,high,apartment,83.7,0,2,0,1,1,1.23,18.0,283.9
284,4,middle,apartment,60.7,0,1,0,1,1,0.84,22.4,334.5
285,5,low,house,160.0,1,1,0,0,3,1.94,15.4,402.9
286,1,middle,apartment,121.2,0,2,1,0,0,1.36,27.1,268.4
287,5,high,house,70.2,1,3,1,1,1,0.94,30.1,448.0
288,5,high,house,101.7,1,1,0,1,2,0.54,31.5,414.1
289,6,high,house,56.5,1,2,0,1,2,1.65,16.3,459.7
290,3,low,house,49.3,1,1,0,1,1,1.66,9.0,328.3
291,2,middle,house,76.5,1,2,1,1,0,1.74,15.9,319.7
292,4,middle,apartment,40.2,0,1,0,1,2,0.94,32.3,345.5
293,2,low,apartment,100.4,0,2,0,1,1,0.63,38.1,296.7
294,2,middle,apartment,173.0,0,2,1,0,1,1.04,11.3,244.5
295,2,middle,house,47.8,0,2,1,1,3,1.04,8.9,253.1
296,2,middle,apartment,82.4,0,3,0,1,1,1.36,27.9,272.5
297,4,high,house,73.8,0,3,0,1,3,0.7,17.2,363.2
298,1,middle,apartment,30.0,0,1,1,0,2,0.97,28.6,221.1
299,1,high,apartment,95.8,1,2,1,1,1,1.34,20.2,340.0
300,1,low,apartment,121.8,1,1,0,1,3,2.17,21.6,279.4
301,3,low,house,134.4,0,1,0,1,0,1.82,31.4,272.0
302,1,middle,house,131.0,0,3,1,1,0,0.51,20.1,253.5
303,6,high,apartment,91.6,1,1,0,1,2,1.94,36.3,469.1
304,4,low,house,90.6,0,3,0,1,0,0.74,17.6,323.5
305,6,high,house,86.6,1,3,1,1,2,1.41,9.1,465.9
306,1,low,house,75.0,0,1,0,1,0,0.69,29.1,219.9
307,4,low,apartment,122.2,1,3,1,1,0,0.68,18.5,386.8
308,2,middle,apartment,100.9,0,1,1,1,0,1.3,28.9,268.7
309,5,low,house,72.7,1,2,1,1,2,2.02,26.8,414.2
310,2,low,house,51.9,0,2,1,1,2,2.46,19.4,264.7
311,3,middle,house,94.8,0,1,0,1,2,1.2,21.1,306.0
312,2,low,house,114.0,1,3,0,0,2,0.68,29.0,361.4
313,6,middle,apartment,96.9,0,3,0,1,2,1.5,25.0,427.2
314,3,low,apartment,92.9,1,2,0,0,1,2.45,20.7,329.7
315,4,high,house,116.2,0,1,1,0,2,2.13,28.2,328.6
316,2,low,house,103.8,0,3,0,1,0,0.74,23.6,289.9
317,4,high,apartment,85.7,0,1,1,0,1,1.86,13.4,294.9
318,6,high,apartment,116.0,0,1,1,1,2,1.78,41.9,423.9
319,3,high,apartment,116.5,0,1,1,0,2,1.11,34.3,276.0
320,5,middle,house,64.3,1,1,0,1,1,1.12,12.8,369.6
321,4,high,apartment,122.2,1,2,0,1,0,0.65,28.6,385.2
322,6,middle,house,132.6,0,2,1,1,1,0.89,28.1,411.9
323,3,high,house,150.5,0,1,1,0,1,1.18,18.3,269.0
324,5,high,house,137.7,0,3,1,1,3,1.11,19.8,425.2
325,5,middle,house,119.3,0,3,0,1,3,1.94,24.3,430.9
326,3,low,house,153.2,0,1,1,1,2,2.06,23.9,291.1
327,4,middle,apartment,108.2,0,2,0,1,1,0.53,14.8,331.4
328,3,middle,apartment,127.5,0,2,0,1,2,0.53,15.7,320.2
329,5,low,apartment,52.9,1,2,1,1,1,2.17,25.7,436.1
330,3,low,apartment,112.9,0,1,1,1,2,1.62,27.4,291.9
331,3,high,house,93.6,0,2,1,0,2,0.6,21.9,306.6
332,4,middle,apartment,96.7,0,2,0,1,1,1.57,42.1,368.6
333,3,low,house,90.6,0,3,1,1,0,1.72,27.7,358.1
334,4,low,house,108.1,1,1,1,0,1,2.07,19.8,368.4
335,4,low,house,56.0,0,2,1,1,2,2.44,24.3,369.2
336,3,low,house,68.7,0,3,0,1,3,1.22,21.4,338.0
337,4,low,house,134.7,1,3,1,1,3,1.65,16.3,466.1
338,6,high,apartment,56.1,0,3,1,1,2,1.08,21.2,439.0
339,1,high,apartment,123.7,0,1,1,1,1,1.88,14.7,209.8
340,5,high,apartment,114.3,0,3,1,1,3,1.85,29.7,441.9
341,6,low,house,88.3,0,3,1,1,3,1.31,40.5,522.7
342,3,middle,house,69.5,1,1,1,1,1,1.77,16.3,345.9
343,4,middle,apartment,75.7,0,3,1,1,1,1.59,15.1,373.0
344,3,middle,apartment,135.8,1,1,1,1,1,1.27,34.2,394.2
345,2,middle,house,66.2,0,3,1,0,0,1.78,25.3,285.9
346,3,middle,apartment,90.2,0,2,1,1,0,1.81,11.7,295.1
347,2,low,house,90.0,0,2,1,1,3,0.57,17.6,302.0
348,3,low,apartment,155.5,0,3,1,1,3,2.46,18.2,347.2
349,2,middle,house,79.3,1,3,1,1,1,2.02,23.7,338.7
350,5,low,apartment,92.5,1,1,1,1,2,2.19,18.9,429.7
351,4,middle,apartment,64.6,0,1,0,1,2,1.1,23.6,341.5
352,6,middle,house,71.8,0,2,0,1,3,2.14,12.5,374.7
353,4,middle,apartment,30.0,0,2,0,1,3,1.79,18.9,318.6
354,2,middle,apartment,34.7,0,2,1,1,2,1.01,33.4,334.9
355,1,low,apartment,46.8,1,1,1,0,2,0.81,22.8,269.1
356,5,low,house,30.0,0,2,0,1,0,2.18,36.3,375.5
357,3,low,house,94.6,0,1,1,1,3,2.21,17.4,302.6
358,4,high,house,69.1,0,3,1,1,3,1.26,29.7,398.4
359,6,middle,house,89.4,1,3,0,1,2,1.72,20.5,449.4
360,6,middle,house,85.7,1,2,0,1,3,1.34,20.4,459.8
361,4,high,apartment,117.6,1,3,0,1,1,2.15,25.1,395.4
362,5,middle,apartment,152.2,0,2,0,1,3,1.91,29.2,407.4
363,4,middle,house,82.2,0,2,1,1,0,1.01,27.5,377.2
364,2,middle,apartment,114.0,0,3,0,1,3,2.45,19.9,293.6
365,2,middle,house,96.0,0,2,1,1,1,1.76,25.6,258.1
366,1,middle,house,94.7,0,1,1,1,2,2.21,22.6,242.6
367,3,middle,apartment,151.9,0,1,1,1,2,0.87,18.2,308.2
368,2,middle,apartment,42.8,0,2,1,1,1,1.75,20.8,255.6
369,5,middle,house,95.5,0,2,1,1,0,2.47,16.8,364.6
370,6,middle,apartment,89.8,0,3,1,1,2,2.22,15.0,404.5
371,3,low,house,110.0,0,3,1,1,0,1.21,27.2,337.0
372,6,middle,apartment,130.7,0,2,1,1,1,0.94,23.4,438.0
373,3,low,apartment,114.7,1,1,0,1,1,0.65,11.9,322.9
374,1,middle,apartment,77.7,1,3,1,1,3,2.11,15.3,294.4
375,2,low,apartment,112.7,1,3,0,0,0,1.89,19.6,256.6
376,6,middle,apartment,128.1,0,1,1,1,2,1.88,10.6,377.9
377,2,low,apartment,72.1,1,1,0,1,1,1.33,22.5,301.9
378,6,middle,house,92.2,0,3,1,1,3,1.73,21.1,435.1
379,1,low,house,55.4,0,1,1,1,3,0.93,33.0,268.1
380,1,middle,apartment,137.4,1,1,0,1,3,1.6,31.3,355.7
381,3,middle,house,35.9,1,3,1,1,2,1.43,21.7,407.7
382,4,middle,apartment,108.9,1,2,0,1,0,1.54,29.7,395.8
383,1,high,house,92.7,1,1,1,1,0,0.75,15.8,250.3
384,3,middle,house,67.4,1,2,1,0,0,2.35,19.0,320.3
385,1,high,house,56.3,1,1,1,1,3,2.08,22.2,296.9
386,5,low,house,137.2,0,1,1,1,2,1.83,26.3,374.3
387,4,low,apartment,79.3,0,1,0,1,1,0.9,29.1,331.1
388,4,low,house,48.5,0,3,1,1,3,1.06,38.4,415.4
389,5,low,apartment,117.9,0,2,1,1,3,0.9,25.1,446.0
390,1,middle,apartment,59.4,0,2,0,1,3,0.94,22.8,277.3
