household_id,household_size,income_level,property_type,dwelling_area_sqm,num_occupants_work_from_home,has_air_conditioner,has_electric_heating,has_ev,num_major_appliances,temperature_c,electricity_price_per_kwh,daily_consumption_kwh
198,6,middle,house,187.1,2,0,0,1,13,8.8,0.314,17.42
199,5,middle,house,45.8,0,0,1,1,12,25.1,0.326,13.28
200,2,high,apartment,108.5,1,1,0,1,14,30.1,0.097,14.44
201,6,low,apartment,95.6,1,0,0,0,10,14.7,0.287,13.66
202,6,middle,house,79.9,0,1,0,0,6,31.0,0.275,12.18
203,1,low,house,40.7,1,1,0,0,14,25.0,0.233,8.37
204,1,high,house,104.4,1,1,1,0,8,20.5,0.326,7.92
205,5,middle,house,71.7,1,1,1,0,8,26.9,0.149,12.5
206,5,low,apartment,65.4,2,0,0,0,13,24.2,0.258,13.56
207,3,high,apartment,114.0,1,1,0,0,8,24.8,0.081,11.01
208,1,middle,apartment,35.0,0,0,0,0,8,27.9,0.306,5.62
209,6,middle,house,35.0,1,0,0,0,13,34.4,0.177,12.68
210,5,low,house,86.6,1,1,1,0,6,18.2,0.329,9.82
211,5,middle,house,95.1,0,1,0,0,10,24.1,0.322,9.96
212,5,middle,house,164.0,1,1,1,1,11,10.0,0.33,16.13
213,3,middle,house,37.3,2,1,1,0,12,22.9,0.211,9.38
214,4,middle,house,56.2,1,0,0,0,6,34.7,0.339,10.05
215,4,middle,house,63.7,1,1,0,0,11,20.6,0.128,11.75
216,6,middle,house,53.2,0,1,0,1,7,10.6,0.218,12.8
217,5,middle,house,95.0,2,1,0,0,6,32.7,0.317,11.53
218,2,high,apartment,102.5,2,0,0,0,6,44.7,0.115,10.11
219,1,middle,house,93.8,1,1,0,0,11,20.3,0.184,10.34
220,2,high,house,132.1,0,1,0,0,11,16.8,0.228,8.93
221,3,middle,house,35.1,1,1,1,1,12,28.0,0.238,10.67
222,4,middle,house,152.8,2,0,1,0,14,30.6,0.302,12.93
223,2,high,house,62.5,0,0,0,1,8,34.7,0.302,10.97
224,1,high,apartment,168.3,2,0,1,1,11,13.6,0.321,14.32
225,2,middle,apartment,153.8,0,0,1,1,6,6.4,0.099,11.96
226,4,high,apartment,73.6,0,1,0,0,12,10.5,0.2,11.03
227,5,middle,house,166.3,0,1,0,0,9,47.4,0.287,15.71
228,6,low,house,41.2,1,0,1,1,11,30.0,0.217,15.55
229,6,low,apartment,63.3,0,1,0,0,14,16.2,0.336,13.6
230,1,low,apartment,89.0,1,0,0,0,6,19.0,0.205,7.59
231,1,middle,apartment,97.3,0,0,0,0,5,26.4,0.338,7.37
232,6,low,apartment,79.3,1,0,1,0,11,30.1,0.093,12.97
233,2,middle,apartment,152.3,0,0,0,0,14,5.9,0.319,11.79
234,3,middle,apartment,150.1,0,1,0,0,12,29.3,0.263,12.96
235,6,low,house,98.6,1,0,0,1,14,13.0,0.181,17.23
236,3,middle,house,35.0,0,1,0,0,12,23.5,0.109,7.94
237,3,low,apartment,132.1,1,0,0,0,13,34.1,0.199,11.14
238,6,middle,apartment,93.7,0,0,0,0,6,20.2,0.187,11.08
239,3,middle,house,104.5,1,0,0,0,12,10.5,0.325,12.05
240,5,low,house,76.2,0,1,0,1,5,29.2,0.208,12.69
241,4,middle,house,128.9,0,1,0,0,10,10.6,0.264,11.09
242,2,middle,house,97.4,1,0,0,0,9,31.2,0.106,8.75
243,2,middle,house,35.8,0,0,0,1,13,19.8,0.192,11.23
244,6,middle,house,47.3,2,1,0,0,12,27.7,0.122,14.37
245,5,high,house,143.4,0,1,0,0,14,12.9,0.138,14.85
246,5,middle,apartment,82.4,1,1,1,0,9,27.7,0.23,11.88
247,6,middle,house,110.7,2,1,0,0,8,24.4,0.325,13.61
248,2,low,house,80.7,1,0,0,0,7,8.9,0.312,7.44
249,5,high,house,102.2,2,0,0,0,5,21.2,0.318,13.36
250,3,high,apartment,58.2,0,0,1,0,5,11.7,0.118,8.42
251,6,high,apartment,165.4,2,1,0,0,7,30.8,0.173,14.43
252,5,low,apartment,63.8,1,1,0,0,11,23.2,0.149,12.4
253,1,middle,house,103.4,2,1,1,0,5,23.7,0.159,9.41
254,3,middle,house,120.4,1,1,0,0,5,16.7,0.335,9.28
255,5,middle,apartment,132.9,2,1,0,0,11,16.9,0.194,14.72
256,2,low,house,115.5,1,1,1,1,7,25.9,0.235,11.89
257,4,high,apartment,77.4,0,0,0,1,5,9.5,0.343,10.8
258,1,high,house,109.8,1,0,0,0,12,4.2,0.267,10.6
259,6,high,house,85.6,0,1,0,0,8,8.6,0.348,12.31
260,5,high,house,157.1,0,1,1,0,12,24.2,0.096,15.06
261,3,middle,apartment,110.8,1,1,0,0,11,13.7,0.222,11.27
262,4,middle,house,66.8,0,1,0,0,8,36.0,0.344,10.35
263,1,high,house,146.7,0,0,1,0,6,29.6,0.235,8.42
264,5,high,house,125.2,1,0,1,0,11,24.6,0.225,12.4
265,3,middle,house,118.9,1,1,0,1,6,24.2,0.173,12.57
266,4,low,house,94.7,0,1,1,0,14,23.4,0.179,11.75
267,3,middle,house,167.0,0,1,0,0,5,20.9,0.328,9.8
268,3,middle,house,86.0,0,1,0,0,5,32.7,0.244,9.12
269,1,middle,apartment,54.3,0,1,0,0,14,10.1,0.223,8.98
270,3,middle,house,106.4,1,0,1,0,6,12.5,0.105,10.51
271,6,middle,apartment,89.6,1,1,1,0,5,20.9,0.277,11.74
272,1,high,house,80.5,0,1,0,0,10,6.4,0.129,6.63
273,3,middle,apartment,100.0,2,1,0,1,11,18.0,0.319,14.07
274,4,middle,house,175.0,0,1,0,1,8,14.0,0.251,13.9
275,3,low,house,77.7,0,1,0,0,8,2.8,0.141,8.8
276,4,middle,house,115.5,1,0,0,0,8,22.7,0.257,10.6
277,6,middle,apartment,44.8,2,0,0,1,10,17.1,0.253,15.1
278,6,middle,house,104.2,2,1,0,0,7,7.1,0.274,12.02
279,5,middle,house,84.4,0,0,1,0,8,12.4,0.327,12.71
280,3,middle,apartment,127.5,2,0,0,0,12,22.3,0.334,11.29
281,6,low,apartment,124.3,0,0,0,0,7,16.4,0.269,11.82
282,5,middle,apartment,133.0,0,1,0,0,8,11.1,0.12,13.52
283,3,high,house,123.0,0,1,0,0,9,14.7,0.295,9.59
284,3,high,house,128.0,0,1,0,1,10,-2.5,0.286,11.41
285,5,low,house,67.7,0,1,1,0,14,1.7,0.138,15.43
286,4,low,apartment,43.2,2,0,0,0,13,-0.4,0.297,10.72
287,5,high,house,137.1,0,0,1,0,5,14.2,0.346,12.55
288,6,low,apartment,80.4,2,1,0,0,7,23.3,0.34,13.12
289,6,low,apartment,35.0,1,0,1,0,12,13.3,0.163,13.75
290,1,middle,house,132.1,1,1,0,1,8,20.2,0.252,11.99
291,5,middle,apartment,70.2,0,1,0,0,12,-3.2,0.299,12.37
292,5,middle,house,180.6,1,0,0,0,11,18.7,0.343,13.21
293,1,high,house,93.6,2,0,1,0,9,26.6,0.273,10.12
294,2,middle,house,70.6,1,0,0,1,11,24.6,0.349,11.16
295,5,middle,house,104.4,1,0,0,0,13,-1.2,0.2,12.3
296,3,high,house,96.2,2,1,1,0,7,17.4,0.204,10.88
297,6,middle,apartment,89.7,0,1,1,0,10,24.6,0.237,12.21
298,5,low,apartment,86.6,1,0,0,0,8,20.8,0.248,10.34
299,6,middle,house,82.9,2,1,1,0,12,20.1,0.281,13.93
300,3,high,house,110.1,1,0,1,0,11,21.1,0.208,10.55
301,6,middle,apartment,138.1,2,0,0,0,5,14.8,0.274,14.36
302,5,low,house,64.2,1,1,0,0,9,11.5,0.135,11.32
303,1,low,house,63.7,0,1,0,0,7,22.7,0.12,7.61
304,4,low,apartment,91.2,2,1,0,1,12,16.9,0.314,14.56
305,6,middle,apartment,77.1,2,1,0,0,5,48.9,0.159,15.85
306,6,high,apartment,79.1,0,1,0,0,9,21.2,0.192,11.49
307,5,high,house,102.5,0,0,0,0,14,32.7,0.171,12.09
308,3,low,house,55.4,2,0,0,1,9,-7.9,0.246,13.67
309,6,high,house,61.3,0,1,1,0,13,24.3,0.099,12.87
310,6,high,house,38.7,1,1,0,0,11,6.1,0.281,14.06
311,6,middle,house,102.4,2,1,0,0,11,28.7,0.319,15.61
312,2,middle,apartment,92.3,2,0,0,0,9,26.6,0.217,9.9
313,2,middle,house,68.1,0,1,0,1,8,13.5,0.27,9.36
314,4,middle,house,128.0,1,0,0,0,9,34.4,0.297,12.26
315,6,middle,house,37.9,0,1,0,0,11,1.6,0.297,11.02
316,1,high,apartment,172.9,1,1,0,0,8,22.7,0.272,8.14
317,2,high,house,50.8,0,0,1,0,9,16.0,0.221,8.67
318,1,low,house,74.2,1,0,1,0,13,30.2,0.348,8.36
319,4,high,house,122.5,1,1,1,0,8,14.6,0.126,12.57
320,6,middle,house,63.3,1,1,1,1,7,19.0,0.145,15.23
321,2,low,apartment,47.1,2,1,0,0,11,20.1,0.325,8.86
322,4,low,house,102.7,0,1,0,0,9,25.0,0.103,11.52
323,3,high,house,58.7,2,1,0,1,14,22.4,0.106,14.37
324,6,high,house,35.8,2,1,0,0,7,28.2,0.306,12.02
325,5,middle,apartment,99.9,0,0,0,0,7,23.2,0.132,10.65
326,4,low,apartment,65.3,2,1,1,0,14,21.7,0.118,12.35
327,2,middle,house,35.0,1,0,0,1,9,22.0,0.349,10.17
328,6,low,apartment,140.0,1,1,1,1,14,16.5,0.087,16.16
329,4,middle,apartment,94.8,0,1,0,0,14,26.0,0.238,12.28
330,1,high,house,183.4,2,1,0,0,14,37.6,0.268,14.54
331,4,high,house,65.9,0,0,0,0,14,13.5,0.208,10.89
332,6,middle,apartment,113.4,0,0,0,0,8,18.6,0.177,11.59
333,1,high,house,97.6,0,1,0,0,12,28.5,0.284,7.72
334,5,middle,apartment,143.8,0,0,0,0,8,5.3,0.111,12.43
335,3,low,apartment,94.0,2,1,1,0,13,13.2,0.208,12.29
336,2,middle,apartment,126.1,2,1,1,0,6,15.8,0.312,9.8
337,3,low,apartment,48.9,2,1,0,0,7,8.3,0.213,8.95
338,4,high,apartment,115.0,0,1,1,1,8,5.5,0.085,16.34
339,3,low,house,80.1,2,1,1,0,11,22.6,0.175,11.85
340,6,middle,house,96.5,0,1,1,0,9,15.6,0.31,11.17
341,6,low,house,80.4,0,1,0,0,8,26.0,0.165,12.07
342,3,low,house,114.3,0,1,0,0,9,28.6,0.268,11.08
343,5,middle,house,77.0,1,1,0,0,11,29.0,0.153,14.56
344,2,middle,apartment,51.7,0,0,0,0,13,7.3,0.176,9.96
345,5,high,apartment,157.3,1,1,0,0,9,18.0,0.162,13.78
346,3,middle,apartment,151.8,0,0,1,0,13,21.9,0.236,11.9
347,2,low,apartment,151.2,0,1,0,0,12,7.0,0.185,10.05
348,4,low,apartment,145.6,2,1,0,1,5,37.2,0.218,14.85
349,2,low,apartment,89.7,0,1,0,0,5,11.6,0.303,7.62
350,3,low,house,113.1,0,1,0,0,8,23.3,0.293,10.62
351,3,middle,house,92.9,1,1,0,1,9,34.6,0.247,13.94
352,4,low,house,35.0,1,1,1,1,6,32.4,0.222,12.49
353,2,low,house,59.1,2,0,0,0,11,28.0,0.321,9.55
354,6,high,house,150.1,2,1,1,0,7,12.8,0.173,16.38
355,5,high,house,76.5,1,1,0,0,11,20.1,0.311,11.38
356,6,middle,house,110.3,2,1,0,0,5,29.5,0.326,13.2
357,3,middle,house,115.6,0,1,0,0,8,24.7,0.304,9.86
358,3,high,house,142.4,1,0,0,0,9,21.0,0.29,11.19
359,5,middle,house,70.4,0,1,0,0,9,28.3,0.185,11.9
360,5,middle,apartment,76.6,0,1,0,1,11,20.1,0.338,13.62
361,2,high,house,141.1,2,0,0,0,9,10.2,0.322,10.94
362,4,middle,house,66.0,1,0,0,1,12,-1.8,0.217,14.93
363,3,middle,house,135.7,1,0,1,0,8,16.8,0.297,9.42
364,5,middle,house,150.3,2,1,0,0,12,22.3,0.303,14.49
365,2,middle,house,141.3,0,1,0,0,7,26.8,0.081,9.32
366,3,high,apartment,67.3,2,1,0,1,13,2.2,0.084,14.62
367,5,high,apartment,129.1,2,1,0,0,9,27.1,0.116,13.51
368,5,high,house,106.3,0,0,1,1,14,26.9,0.244,14.94
369,6,low,house,121.0,2,0,0,0,5,7.7,0.158,15.32
370,1,middle,house,73.3,1,0,0,0,5,13.1,0.198,7.45
371,4,middle,apartment,136.5,0,0,1,0,6,15.6,0.171,11.23
372,2,middle,apartment,121.2,2,0,1,1,8,20.7,0.193,13.78
373,3,high,apartment,87.2,0,0,0,0,12,8.0,0.282,8.57
374,6,high,apartment,98.8,0,1,0,1,8,8.6,0.153,15.54
375,2,high,house,35.0,1,1,1,1,6,25.2,0.083,12.0
376,4,middle,apartment,45.1,1,1,1,0,7,12.9,0.257,11.2
377,4,middle,house,117.2,1,0,0,0,14,32.8,0.31,12.06
378,4,middle,house,60.2,2,1,0,0,13,32.6,0.156,13.37
379,3,middle,apartment,103.6,0,0,1,0,10,22.9,0.232,9.4
380,2,middle,house,72.7,0,0,1,1,7,-3.7,0.192,15.5
381,4,middle,house,62.5,1,1,0,1,14,20.9,0.169,15.23
382,6,middle,apartment,99.1,1,1,0,0,9,-1.2,0.236,13.29
383,1,middle,house,103.9,1,1,1,0,6,29.0,0.207,8.54
384,3,middle,house,137.6,1,0,1,0,8,10.9,0.164,11.3
385,5,low,house,97.8,1,1,0,0,12,6.6,0.096,12.45
386,3,low,apartment,78.8,2,0,1,1,14,16.9,0.108,14.37
387,1,middle,house,53.2,2,0,1,0,5,17.3,0.317,7.83
388,4,middle,apartment,75.6,2,0,1,0,10,17.4,0.205,10.51
389,2,middle,apartment,99.6,1,1,0,0,5,23.5,0.175,10.06
390,1,middle,house,131.9,1,1,0,0,5,20.3,0.222,8.57
391,5,low,house,111.0,1,1,0,0,12,16.2,0.259,11.92
